,NUM NODES,NUM EDGES,PEARL DEPTH,GRAPH NAME,NUM PEARLS,AVG PEARL SIZE,MIN PEARL SIZE,MAX PEARL SIZE,TIME,SUBDIVISON,OUTERPLANAR
0,31,34,2,Rnp.graphml,2,1.5,1.0,2.0,0.012997865676879883,False,False
1,74,101,2,Uninett2010.graphml,2,13.0,2.0,24.0,0.1575610637664795,False,False
2,30,33,1,WideJpn.graphml,1,2.0,2.0,2.0,0.01636672019958496,True,False
3,13,16,1,Eenet.graphml,0,0.0,0.0,0.0,0.0034987926483154297,False,True
4,25,57,1,AttMpls.graphml,1,20.0,20.0,20.0,0.015972375869750977,False,False
5,43,43,1,Litnet.graphml,0,0.0,0.0,0.0,0.029676198959350586,False,True
6,21,22,2,Atmnet.graphml,2,1.5,1.0,2.0,0.0038640499114990234,False,False
7,59,84,2,Garr201105.graphml,2,5.0,1.0,9.0,0.12656784057617188,False,False
8,36,41,2,PionierL1.graphml,2,4.5,2.0,7.0,0.02716851234436035,False,False
9,59,85,1,Garr201107.graphml,1,9.0,9.0,9.0,0.12391257286071777,True,False
10,33,38,2,CrlNetworkServices.graphml,2,3.5,2.0,5.0,0.007863521575927734,False,False
11,20,31,1,Quest.graphml,1,11.0,11.0,11.0,0.008213996887207031,False,False
12,58,81,2,Garr201103.graphml,2,5.0,1.0,9.0,0.12407541275024414,False,False
13,23,43,1,Belnet2004.graphml,1,5.0,5.0,5.0,0.00594639778137207,False,False
14,16,18,3,Marwan.graphml,3,1.6666666666666667,1.0,2.0,0.011110782623291016,False,False
15,6,5,1,Mren.graphml,0,0.0,0.0,0.0,0.001049041748046875,False,True
16,10,9,1,Cesnet1993.graphml,0,0.0,0.0,0.0,0.0020868778228759766,False,True
17,22,32,4,Belnet2010.graphml,5,2.0,2.0,2.0,0.011073827743530273,False,False
18,127,129,3,Pern.graphml,3,1.6666666666666667,1.0,2.0,0.211899995803833,False,False
19,18,17,1,Jgn2Plus.graphml,0,0.0,0.0,0.0,0.004214763641357422,False,True
20,45,70,2,Palmetto.graphml,2,11.5,3.0,20.0,0.040360450744628906,False,False
21,33,43,2,Renater2006.graphml,2,3.5,2.0,5.0,0.015102386474609375,False,False
22,37,47,3,Grnet.graphml,3,2.6666666666666665,1.0,5.0,0.035195350646972656,False,False
23,13,12,1,Kreonet.graphml,0,0.0,0.0,0.0,0.0029761791229248047,False,True
24,8,8,1,HiberniaIreland.graphml,0,0.0,0.0,0.0,0.0011851787567138672,False,True
25,5,4,1,Renam.graphml,0,0.0,0.0,0.0,0.0008707046508789062,False,True
26,6,7,1,Epoch.graphml,0,0.0,0.0,0.0,0.0005717277526855469,False,True
27,34,49,1,Xspedius.graphml,1,19.0,19.0,19.0,0.015648841857910156,False,False
28,19,25,2,Noel.graphml,2,3.5,1.0,6.0,0.006966590881347656,False,False
29,6,6,1,Telecomserbia.graphml,0,0.0,0.0,0.0,0.00045037269592285156,False,True
30,20,30,1,EliBackbone.graphml,1,12.0,12.0,12.0,0.006534576416015625,False,True
31,18,24,1,Ibm.graphml,1,9.0,9.0,9.0,0.005976200103759766,True,False
32,61,89,1,Garr201112.graphml,1,10.0,10.0,10.0,0.11189866065979004,True,False
33,9,20,1,Gridnet.graphml,1,9.0,9.0,9.0,0.004693269729614258,False,False
34,6,7,1,Napnet.graphml,0,0.0,0.0,0.0,0.0009100437164306641,False,True
35,23,24,2,York.graphml,2,1.5,1.0,2.0,0.0040493011474609375,False,False
36,20,40,2,Janetlense.graphml,2,4.5,1.0,8.0,0.015429496765136719,False,False
37,29,33,1,Cesnet200304.graphml,1,4.0,4.0,4.0,0.027793169021606445,True,False
38,21,24,1,GtsRomania.graphml,1,2.0,2.0,2.0,0.005994081497192383,True,True
39,39,44,2,Cesnet200603.graphml,2,2.5,1.0,4.0,0.03998088836669922,False,False
40,25,30,1,Agis.graphml,1,6.0,6.0,6.0,0.014838218688964844,True,False
41,60,87,1,Garr201111.graphml,1,10.0,10.0,10.0,0.10992813110351562,True,False
42,28,28,1,Gambia.graphml,0,0.0,0.0,0.0,0.008930206298828125,False,True
43,59,85,2,Garr201108.graphml,2,5.0,1.0,9.0,0.12635493278503418,False,False
44,37,58,1,Geant2010.graphml,1,16.0,16.0,16.0,0.030991315841674805,True,False
45,9,10,1,Arpanet19706.graphml,0,0.0,0.0,0.0,0.0011577606201171875,False,True
46,19,45,1,Internetmci.graphml,1,17.0,17.0,17.0,0.01207590103149414,False,False
47,39,53,2,Intranetwork.graphml,5,3.0,1.0,8.0,0.03580880165100098,False,False
48,17,31,1,Goodnet.graphml,1,9.0,9.0,9.0,0.012135505676269531,False,False
49,19,29,1,Easynet.graphml,2,4.0,3.0,5.0,0.015194892883300781,True,False
