,NUM NODES,NUM EDGES,PEARL DEPTH,GRAPH NAME,NUM PEARLS
0,19,24,2,Aarnet.graphml,3
1,11,14,2,Abilene.graphml,3
2,23,31,1,Abvt.graphml,2
3,23,31,2,Aconet.graphml,3
4,25,30,0,Agis.graphml,1
5,10,9,1,Ai3.graphml,0
6,16,37,0,Airtel.graphml,1
7,25,24,1,Amres.graphml,0
8,18,25,0,Ans.graphml,1
9,30,29,1,Arn.graphml,0
10,34,47,1,Arnes.graphml,1
11,4,4,1,Arpanet196912.graphml,0
12,9,10,1,Arpanet19706.graphml,0
13,18,22,2,Arpanet19719.graphml,3
14,25,28,2,Arpanet19723.graphml,3
15,29,32,0,Arpanet19728.graphml,1
16,65,79,0,AsnetAm.graphml,1
17,21,22,0,Atmnet.graphml,1
18,25,57,0,AttMpls.graphml,1
19,22,25,1,Azrena.graphml,0
20,7,6,1,Basnet.graphml,0
21,27,28,0,Bbnplanet.graphml,1
22,48,65,0,Bellcanada.graphml,1
23,51,66,0,Bellsouth.graphml,1
24,23,43,0,Belnet2003.graphml,1
25,23,43,0,Belnet2004.graphml,1
26,23,44,0,Belnet2005.graphml,1
27,23,44,0,Belnet2006.graphml,1
28,21,31,2,Belnet2007.graphml,5
29,21,31,2,Belnet2008.graphml,5
30,21,31,2,Belnet2009.graphml,4
31,22,32,2,Belnet2010.graphml,5
32,53,65,0,BeyondTheNetwork.graphml,1
33,33,48,1,Bics.graphml,2
34,29,33,1,Biznet.graphml,1
35,37,38,0,Bren.graphml,1
36,18,24,0,BsonetEurope.graphml,1
37,20,31,0,BtAsiaPac.graphml,1
38,24,37,0,BtEurope.graphml,1
39,36,76,0,BtNorthAmerica.graphml,1
40,32,41,1,Canerie.graphml,1
41,44,43,1,Carnet.graphml,0
42,41,59,0,Cernet.graphml,1
43,10,9,1,Cesnet1993.graphml,0
44,13,12,1,Cesnet1997.graphml,0
45,13,12,1,Cesnet1999.graphml,0
46,23,23,0,Cesnet2001.graphml,1
47,29,33,0,Cesnet200304.graphml,1
48,39,44,0,Cesnet200511.graphml,1
49,39,44,0,Cesnet200603.graphml,1
50,44,51,0,Cesnet200706.graphml,1
51,52,63,0,Cesnet201006.graphml,1
52,42,66,0,Chinanet.graphml,1
53,15,18,1,Claranet.graphml,2
54,197,245,4,Cogentco.graphml,7
55,153,191,3,Colt.graphml,2
56,70,85,2,Columbus.graphml,3
57,14,17,0,Compuserve.graphml,1
58,33,38,0,CrlNetworkServices.graphml,1
59,51,52,0,Cudi.graphml,1
60,36,41,0,Cwix.graphml,1
61,30,29,1,Cynet.graphml,0
62,28,31,2,Darkstrand.graphml,3
63,6,11,0,Dataxchange.graphml,1
64,113,183,4,Deltacom.graphml,5
65,58,87,0,Dfn.graphml,1
66,31,38,3,Digex.graphml,4
67,19,29,0,Easynet.graphml,1
68,13,16,1,Eenet.graphml,0
69,20,30,0,EliBackbone.graphml,1
70,6,7,0,Epoch.graphml,1
71,30,32,0,Ernet.graphml,1
72,68,92,1,Esnet.graphml,1
73,37,45,0,Evolink.graphml,1
74,17,21,0,Fatman.graphml,1
75,23,27,1,Fccn.graphml,0
76,62,62,1,Forthnet.graphml,0
77,26,31,1,Funet.graphml,2
78,28,28,0,Gambia.graphml,1
79,16,18,0,Garr199901.graphml,1
80,23,25,0,Garr199904.graphml,1
81,23,25,0,Garr199905.graphml,1
82,22,24,0,Garr200109.graphml,1
83,24,26,0,Garr200112.graphml,1
84,27,29,0,Garr200212.graphml,1
85,22,24,0,Garr200404.graphml,1
86,54,71,1,Garr200902.graphml,2
87,54,68,0,Garr200908.graphml,1
88,55,69,0,Garr200909.graphml,1
89,54,68,0,Garr200912.graphml,1
90,54,68,0,Garr201001.graphml,1
91,54,71,0,Garr201003.graphml,1
92,54,71,0,Garr201004.graphml,1
93,55,72,0,Garr201005.graphml,1
94,55,74,1,Garr201007.graphml,2
95,55,74,1,Garr201008.graphml,2
96,56,75,1,Garr201010.graphml,2
97,56,75,1,Garr201012.graphml,2
98,56,76,1,Garr201101.graphml,2
99,57,77,1,Garr201102.graphml,2
100,58,81,1,Garr201103.graphml,2
101,59,83,0,Garr201104.graphml,1
102,59,84,0,Garr201105.graphml,1
103,59,85,0,Garr201107.graphml,1
104,59,85,0,Garr201108.graphml,1
105,59,86,1,Garr201109.graphml,2
106,59,87,1,Garr201110.graphml,2
107,60,87,1,Garr201111.graphml,2
108,61,89,2,Garr201112.graphml,3
109,61,89,2,Garr201201.graphml,3
110,8,7,1,Gblnet.graphml,0
111,27,38,0,Geant2001.graphml,1
112,34,52,0,Geant2009.graphml,1
113,37,58,0,Geant2010.graphml,1
114,40,61,0,Geant2012.graphml,1
115,7,8,0,Getnet.graphml,1
116,9,36,0,Globalcenter.graphml,1
117,67,113,1,Globenet.graphml,2
118,17,31,0,Goodnet.graphml,1
119,16,15,1,Grena.graphml,0
120,9,20,0,Gridnet.graphml,1
121,37,47,1,Grnet.graphml,2
122,149,193,2,GtsCe.graphml,4
123,32,33,1,GtsCzechRepublic.graphml,2
124,30,31,0,GtsHungary.graphml,1
125,33,37,0,GtsPoland.graphml,1
126,21,24,0,GtsRomania.graphml,1
127,35,37,1,GtsSlovakia.graphml,2
128,21,25,0,Harnet.graphml,1
129,7,13,0,Heanet.graphml,1
130,13,14,0,HiberniaCanada.graphml,1
131,55,81,1,HiberniaGlobal.graphml,2
132,8,8,1,HiberniaIreland.graphml,0
133,18,22,2,HiberniaNireland.graphml,3
134,15,15,0,HiberniaUk.graphml,1
135,22,29,1,HiberniaUs.graphml,2
136,18,53,0,Highwinds.graphml,1
137,16,21,1,HostwayInternational.graphml,2
138,24,37,0,HurricaneElectric.graphml,1
139,18,24,0,Ibm.graphml,1
140,37,66,0,Iij.graphml,1
141,31,35,0,Iinet.graphml,1
142,14,15,1,Ilan.graphml,0
143,27,36,1,Integra.graphml,2
144,73,97,2,Intellifiber.graphml,1
145,19,45,0,Internetmci.graphml,1
146,66,78,0,Internode.graphml,1
147,110,158,3,Interoute.graphml,6
148,39,53,0,Intranetwork.graphml,1
149,125,150,4,Ion.graphml,7
150,33,41,1,IowaStatewideFiberMap.graphml,2
151,51,64,1,Iris.graphml,2
152,23,23,0,Istar.graphml,1
153,11,10,1,Itnet.graphml,0
154,29,45,0,Janetbackbone.graphml,1
155,20,40,0,Janetlense.graphml,1
156,18,17,1,Jgn2Plus.graphml,0
157,25,30,1,Karen.graphml,1
158,754,899,2,Kdl.graphml,1
159,26,28,0,KentmanFeb2008.graphml,1
160,38,39,0,KentmanJan2011.graphml,1
161,16,17,0,KentmanJul2005.graphml,1
162,13,12,1,Kreonet.graphml,0
163,42,46,2,LambdaNet.graphml,3
164,69,74,0,Latnet.graphml,1
165,6,7,0,Layer42.graphml,1
166,43,43,0,Litnet.graphml,1
167,20,27,0,Marnet.graphml,1
168,16,18,2,Marwan.graphml,3
169,67,83,2,Missouri.graphml,3
170,6,5,1,Mren.graphml,0
171,37,40,0,Myren.graphml,1
172,6,7,0,Napnet.graphml,1
173,13,17,0,Navigata.graphml,1
174,7,10,0,Netrail.graphml,1
175,35,39,0,NetworkUsa.graphml,1
176,17,20,0,Nextgen.graphml,1
177,36,41,0,Niif.graphml,1
178,19,25,0,Noel.graphml,1
179,7,6,1,Nordu1989.graphml,0
180,14,13,1,Nordu1997.graphml,0
181,9,10,1,Nordu2005.graphml,0
182,13,15,0,Nsfnet.graphml,1
183,20,26,0,Oxford.graphml,1
184,18,27,0,Pacificwave.graphml,1
185,21,27,0,Packetexchange.graphml,1
186,45,70,2,Palmetto.graphml,3
187,16,20,0,Peer1.graphml,1
188,127,129,2,Pern.graphml,3
189,36,41,1,PionierL1.graphml,2
190,38,52,0,PionierL3.graphml,1
191,24,25,0,Psinet.graphml,1
192,20,31,0,Quest.graphml,1
