,NUM NODES,NUM EDGES,PEARL DEPTH,GRAPH NAME,NUM PEARLS,AVG PEARL SIZE,MIN PEARL SIZE,MAX PEARL SIZE,TIME
0,19,24,3,Aarnet.graphml,3,2.0,2.0,2.0,0.01938486099243164
1,11,14,3,Abilene.graphml,3,2.0,2.0,2.0,0.013426065444946289
2,23,31,2,Abvt.graphml,2,5.0,4.0,6.0,0.021396875381469727
3,23,31,3,Aconet.graphml,3,2.0,2.0,2.0,0.014286279678344727
4,25,30,1,Agis.graphml,1,6.0,6.0,6.0,0.0266573429107666
5,10,9,1,Ai3.graphml,0,0.0,0.0,0.0,0.0073549747467041016
6,16,37,1,Airtel.graphml,1,8.0,8.0,8.0,0.03763175010681152
7,25,24,1,Amres.graphml,0,0.0,0.0,0.0,0.014452934265136719
8,18,25,2,Ans.graphml,2,5.5,1.0,10.0,0.022862672805786133
9,30,29,1,Arn.graphml,0,0.0,0.0,0.0,0.028466463088989258
10,34,47,2,Arnes.graphml,3,4.0,2.0,5.0,0.02873539924621582
11,4,4,1,Arpanet196912.graphml,0,0.0,0.0,0.0,0.005059719085693359
12,9,10,1,Arpanet19706.graphml,0,0.0,0.0,0.0,0.006120443344116211
13,18,22,3,Arpanet19719.graphml,3,2.0,2.0,2.0,0.044603586196899414
14,25,28,3,Arpanet19723.graphml,3,2.0,2.0,2.0,0.016597270965576172
15,29,32,1,Arpanet19728.graphml,1,6.0,6.0,6.0,0.009257078170776367
16,65,79,1,AsnetAm.graphml,3,3.6666666666666665,2.0,7.0,0.11005687713623047
17,21,22,2,Atmnet.graphml,2,1.5,1.0,2.0,0.010118961334228516
18,25,57,1,AttMpls.graphml,1,20.0,20.0,20.0,0.0290982723236084
19,22,25,1,Azrena.graphml,0,0.0,0.0,0.0,0.014615058898925781
20,7,6,1,Basnet.graphml,0,0.0,0.0,0.0,0.005685091018676758
21,27,28,2,Bbnplanet.graphml,2,1.5,1.0,2.0,0.04256749153137207
22,48,65,2,Bellcanada.graphml,5,4.2,1.0,13.0,0.054843902587890625
23,51,66,2,Bellsouth.graphml,2,2.5,1.0,4.0,0.1007230281829834
24,23,43,1,Belnet2003.graphml,1,5.0,5.0,5.0,0.012606382369995117
25,23,43,1,Belnet2004.graphml,1,5.0,5.0,5.0,0.013109922409057617
26,23,44,1,Belnet2005.graphml,1,5.0,5.0,5.0,0.011146783828735352
27,23,44,1,Belnet2006.graphml,1,5.0,5.0,5.0,0.014397382736206055
28,21,31,3,Belnet2007.graphml,5,2.0,2.0,2.0,0.02251601219177246
29,21,31,3,Belnet2008.graphml,5,2.0,2.0,2.0,0.021637916564941406
30,21,31,3,Belnet2009.graphml,5,2.0,2.0,2.0,0.021620512008666992
31,22,32,3,Belnet2010.graphml,5,2.0,2.0,2.0,0.020491600036621094
32,53,65,1,BeyondTheNetwork.graphml,1,14.0,14.0,14.0,0.10407662391662598
33,33,48,2,Bics.graphml,2,8.5,2.0,15.0,0.054853200912475586
34,29,33,2,Biznet.graphml,4,1.75,1.0,2.0,0.018677711486816406
35,37,38,1,Bren.graphml,0,0.0,0.0,0.0,0.04548001289367676
36,18,24,1,BsonetEurope.graphml,1,6.0,6.0,6.0,0.023081064224243164
37,20,31,1,BtAsiaPac.graphml,1,8.0,8.0,8.0,0.019077301025390625
38,24,37,1,BtEurope.graphml,1,6.0,6.0,6.0,0.016998291015625
39,36,76,1,BtNorthAmerica.graphml,1,23.0,23.0,23.0,0.03614616394042969
40,32,41,2,Canerie.graphml,4,2.5,1.0,4.0,0.03427934646606445
41,44,43,1,Carnet.graphml,0,0.0,0.0,0.0,0.03629422187805176
42,41,59,1,Cernet.graphml,1,8.0,8.0,8.0,0.024641752243041992
43,10,9,1,Cesnet1993.graphml,0,0.0,0.0,0.0,0.010097980499267578
44,13,12,1,Cesnet1997.graphml,0,0.0,0.0,0.0,0.012016057968139648
45,13,12,1,Cesnet1999.graphml,0,0.0,0.0,0.0,0.009782075881958008
46,23,23,1,Cesnet2001.graphml,0,0.0,0.0,0.0,0.017522811889648438
47,29,33,1,Cesnet200304.graphml,1,4.0,4.0,4.0,0.04886794090270996
48,39,44,2,Cesnet200511.graphml,2,2.5,1.0,4.0,0.06462669372558594
49,39,44,1,Cesnet200603.graphml,1,4.0,4.0,4.0,0.06116819381713867
50,44,51,1,Cesnet200706.graphml,1,6.0,6.0,6.0,0.12303853034973145
51,52,63,1,Cesnet201006.graphml,1,12.0,12.0,12.0,0.16977691650390625
52,42,66,1,Chinanet.graphml,1,9.0,9.0,9.0,0.1007239818572998
53,15,18,1,Claranet.graphml,1,3.0,3.0,3.0,0.013000249862670898
54,197,245,5,Cogentco.graphml,7,8.857142857142858,2.0,46.0,1.7210562229156494
55,153,191,4,Colt.graphml,9,3.3333333333333335,1.0,11.0,0.9516773223876953
56,70,85,4,Columbus.graphml,4,6.25,1.0,15.0,0.1747877597808838
57,14,17,1,Compuserve.graphml,1,5.0,5.0,5.0,0.009491205215454102
58,33,38,3,CrlNetworkServices.graphml,3,2.6666666666666665,1.0,5.0,0.017055273056030273
59,51,52,2,Cudi.graphml,2,1.5,1.0,2.0,0.06554841995239258
60,36,41,1,Cwix.graphml,1,7.0,7.0,7.0,0.029808521270751953
61,30,29,1,Cynet.graphml,0,0.0,0.0,0.0,0.028519868850708008
62,28,31,3,Darkstrand.graphml,3,2.0,2.0,2.0,0.01575326919555664
63,6,11,1,Dataxchange.graphml,1,5.0,5.0,5.0,0.008764028549194336
64,113,183,5,Deltacom.graphml,5,11.8,1.0,52.0,0.5309023857116699
65,58,87,1,Dfn.graphml,1,20.0,20.0,20.0,0.06400108337402344
66,31,38,4,Digex.graphml,4,2.75,2.0,4.0,0.02567124366760254
67,19,29,1,Easynet.graphml,2,4.0,3.0,5.0,0.02569723129272461
68,13,16,1,Eenet.graphml,0,0.0,0.0,0.0,0.011029958724975586
69,20,30,1,EliBackbone.graphml,1,12.0,12.0,12.0,0.013444185256958008
70,6,7,1,Epoch.graphml,0,0.0,0.0,0.0,0.00537109375
71,30,32,1,Ernet.graphml,1,3.0,3.0,3.0,0.03874659538269043
72,68,92,1,Esnet.graphml,1,12.0,12.0,12.0,0.20671987533569336
73,37,45,2,Evolink.graphml,2,4.0,1.0,7.0,0.04631662368774414
74,17,21,2,Fatman.graphml,2,1.5,1.0,2.0,0.01937580108642578
75,23,27,1,Fccn.graphml,0,0.0,0.0,0.0,0.01262664794921875
76,62,62,1,Forthnet.graphml,0,0.0,0.0,0.0,0.07931017875671387
77,26,31,2,Funet.graphml,2,3.5,2.0,5.0,0.0227658748626709
78,28,28,1,Gambia.graphml,0,0.0,0.0,0.0,0.022883176803588867
79,16,18,1,Garr199901.graphml,1,4.0,4.0,4.0,0.015172719955444336
80,23,25,1,Garr199904.graphml,1,4.0,4.0,4.0,0.020456790924072266
81,23,25,1,Garr199905.graphml,1,4.0,4.0,4.0,0.020542144775390625
82,22,24,1,Garr200109.graphml,1,4.0,4.0,4.0,0.023842811584472656
83,24,26,1,Garr200112.graphml,1,4.0,4.0,4.0,0.026342153549194336
84,27,29,1,Garr200212.graphml,1,3.0,3.0,3.0,0.02844548225402832
85,22,24,1,Garr200404.graphml,1,4.0,4.0,4.0,0.01951766014099121
86,54,71,1,Garr200902.graphml,1,9.0,9.0,9.0,0.20415425300598145
87,54,68,1,Garr200908.graphml,1,9.0,9.0,9.0,0.1871793270111084
88,55,69,1,Garr200909.graphml,1,9.0,9.0,9.0,0.1947178840637207
89,54,68,2,Garr200912.graphml,2,5.0,1.0,9.0,0.19890475273132324
90,54,68,2,Garr201001.graphml,2,5.0,1.0,9.0,0.20901942253112793
91,54,71,1,Garr201003.graphml,1,9.0,9.0,9.0,0.22990679740905762
92,54,71,2,Garr201004.graphml,2,5.0,1.0,9.0,0.20757699012756348
93,55,72,1,Garr201005.graphml,1,9.0,9.0,9.0,0.21749019622802734
94,55,74,1,Garr201007.graphml,1,9.0,9.0,9.0,0.17074298858642578
95,55,74,1,Garr201008.graphml,1,9.0,9.0,9.0,0.17261719703674316
96,56,75,1,Garr201010.graphml,1,9.0,9.0,9.0,0.19197726249694824
97,56,75,1,Garr201012.graphml,1,9.0,9.0,9.0,0.17408967018127441
98,56,76,1,Garr201101.graphml,1,9.0,9.0,9.0,0.19775938987731934
99,57,77,1,Garr201102.graphml,1,9.0,9.0,9.0,0.1844806671142578
100,58,81,1,Garr201103.graphml,1,9.0,9.0,9.0,0.21533584594726562
101,59,83,2,Garr201104.graphml,2,6.0,1.0,11.0,0.2927727699279785
102,59,84,2,Garr201105.graphml,2,5.0,1.0,9.0,0.20711135864257812
103,59,85,2,Garr201107.graphml,2,5.0,1.0,9.0,0.2542300224304199
104,59,85,1,Garr201108.graphml,1,9.0,9.0,9.0,0.22941064834594727
105,59,86,1,Garr201109.graphml,1,9.0,9.0,9.0,0.18170428276062012
106,59,87,2,Garr201110.graphml,2,5.5,1.0,10.0,0.20404934883117676
107,60,87,1,Garr201111.graphml,1,10.0,10.0,10.0,0.17516613006591797
108,61,89,2,Garr201112.graphml,2,5.5,1.0,10.0,0.18734431266784668
109,61,89,2,Garr201201.graphml,2,5.5,1.0,10.0,0.20310306549072266
110,8,7,1,Gblnet.graphml,0,0.0,0.0,0.0,0.006515979766845703
111,27,38,2,Geant2001.graphml,2,6.0,1.0,11.0,0.055551767349243164
112,34,52,1,Geant2009.graphml,1,16.0,16.0,16.0,0.04078793525695801
113,37,58,1,Geant2010.graphml,1,16.0,16.0,16.0,0.052893638610839844
114,40,61,1,Geant2012.graphml,1,17.0,17.0,17.0,0.08391904830932617
115,7,8,1,Getnet.graphml,1,2.0,2.0,2.0,0.0067446231842041016
116,9,36,1,Globalcenter.graphml,1,9.0,9.0,9.0,0.017058610916137695
117,67,113,2,Globenet.graphml,2,14.0,2.0,26.0,0.20354270935058594
118,17,31,1,Goodnet.graphml,1,9.0,9.0,9.0,0.0231020450592041
119,16,15,1,Grena.graphml,0,0.0,0.0,0.0,0.010274410247802734
120,9,20,1,Gridnet.graphml,1,9.0,9.0,9.0,0.012096166610717773
121,37,47,2,Grnet.graphml,2,3.5,2.0,5.0,0.06482839584350586
122,149,193,3,GtsCe.graphml,4,12.5,2.0,44.0,0.6291079521179199
123,32,33,2,GtsCzechRepublic.graphml,2,1.5,1.0,2.0,0.03130149841308594
124,30,31,1,GtsHungary.graphml,0,0.0,0.0,0.0,0.0173952579498291
125,33,37,2,GtsPoland.graphml,2,3.5,1.0,6.0,0.024295806884765625
126,21,24,2,GtsRomania.graphml,2,1.5,1.0,2.0,0.01537466049194336
127,35,37,2,GtsSlovakia.graphml,2,2.0,2.0,2.0,0.03626537322998047
128,21,25,1,Harnet.graphml,1,4.0,4.0,4.0,0.03486347198486328
129,7,13,1,Heanet.graphml,1,4.0,4.0,4.0,0.00899815559387207
130,13,14,2,HiberniaCanada.graphml,2,1.5,1.0,2.0,0.012340068817138672
131,55,81,3,HiberniaGlobal.graphml,7,4.857142857142857,1.0,21.0,0.2141284942626953
132,8,8,1,HiberniaIreland.graphml,0,0.0,0.0,0.0,0.0056612491607666016
133,18,22,3,HiberniaNireland.graphml,3,2.0,2.0,2.0,0.013952016830444336
134,15,15,1,HiberniaUk.graphml,0,0.0,0.0,0.0,0.006602048873901367
135,22,29,2,HiberniaUs.graphml,2,5.5,2.0,9.0,0.03415489196777344
136,18,53,1,Highwinds.graphml,1,13.0,13.0,13.0,0.033467769622802734
137,16,21,2,HostwayInternational.graphml,2,3.0,2.0,4.0,0.018331050872802734
138,24,37,2,HurricaneElectric.graphml,2,5.5,1.0,10.0,0.052313804626464844
139,18,24,1,Ibm.graphml,1,9.0,9.0,9.0,0.01353597640991211
140,37,66,2,Iij.graphml,2,6.0,1.0,11.0,0.08796548843383789
141,31,35,1,Iinet.graphml,1,4.0,4.0,4.0,0.04615187644958496
142,14,15,1,Ilan.graphml,0,0.0,0.0,0.0,0.00827479362487793
143,27,36,2,Integra.graphml,2,5.5,2.0,9.0,0.03276395797729492
144,73,97,3,Intellifiber.graphml,4,6.25,2.0,15.0,0.11729860305786133
145,19,45,1,Internetmci.graphml,1,17.0,17.0,17.0,0.03337359428405762
146,66,78,1,Internode.graphml,1,10.0,10.0,10.0,0.34618282318115234
147,110,158,4,Interoute.graphml,6,8.0,1.0,40.0,0.399808406829834
148,39,53,2,Intranetwork.graphml,6,2.6666666666666665,1.0,8.0,0.06326842308044434
149,125,150,4,Ion.graphml,5,7.4,2.0,23.0,0.3151435852050781
150,33,41,2,IowaStatewideFiberMap.graphml,2,6.0,2.0,10.0,0.04791760444641113
151,51,64,2,Iris.graphml,2,6.5,5.0,8.0,0.0544743537902832
152,23,23,1,Istar.graphml,0,0.0,0.0,0.0,0.018273115158081055
153,11,10,1,Itnet.graphml,0,0.0,0.0,0.0,0.006439208984375
154,29,45,1,Janetbackbone.graphml,1,7.0,7.0,7.0,0.009907722473144531
155,20,40,1,Janetlense.graphml,1,8.0,8.0,8.0,0.021476030349731445
156,18,17,1,Jgn2Plus.graphml,0,0.0,0.0,0.0,0.01052999496459961
157,25,30,2,Karen.graphml,3,1.6666666666666667,1.0,2.0,0.03147268295288086
158,754,899,3,Kdl.graphml,11,18.636363636363637,1.0,185.0,29.19689154624939
159,26,28,2,KentmanFeb2008.graphml,2,1.5,1.0,2.0,0.0264589786529541
160,38,39,1,KentmanJan2011.graphml,0,0.0,0.0,0.0,0.03387165069580078
161,16,17,2,KentmanJul2005.graphml,2,1.5,1.0,2.0,0.011345148086547852
162,13,12,1,Kreonet.graphml,0,0.0,0.0,0.0,0.009201288223266602
163,42,46,3,LambdaNet.graphml,3,2.3333333333333335,2.0,3.0,0.020876646041870117
164,69,74,1,Latnet.graphml,2,2.0,2.0,2.0,0.11782264709472656
165,6,7,2,Layer42.graphml,2,1.5,1.0,2.0,0.007391929626464844
166,43,43,1,Litnet.graphml,0,0.0,0.0,0.0,0.05127406120300293
167,20,27,1,Marnet.graphml,1,3.0,3.0,3.0,0.011110544204711914
168,16,18,2,Marwan.graphml,2,2.0,2.0,2.0,0.020134687423706055
169,67,83,3,Missouri.graphml,3,8.0,4.0,14.0,0.13410234451293945
170,6,5,1,Mren.graphml,0,0.0,0.0,0.0,0.0057430267333984375
171,37,40,1,Myren.graphml,1,2.0,2.0,2.0,0.03595995903015137
172,6,7,1,Napnet.graphml,0,0.0,0.0,0.0,0.005196332931518555
173,13,17,1,Navigata.graphml,1,4.0,4.0,4.0,0.009804010391235352
174,7,10,1,Netrail.graphml,1,3.0,3.0,3.0,0.00675201416015625
175,35,39,1,NetworkUsa.graphml,1,4.0,4.0,4.0,0.009963750839233398
176,17,20,1,Nextgen.graphml,1,2.0,2.0,2.0,0.0073201656341552734
177,36,41,1,Niif.graphml,1,5.0,5.0,5.0,0.05277895927429199
178,19,25,1,Noel.graphml,1,6.0,6.0,6.0,0.01082921028137207
179,7,6,1,Nordu1989.graphml,0,0.0,0.0,0.0,0.005872011184692383
180,14,13,1,Nordu1997.graphml,0,0.0,0.0,0.0,0.009243488311767578
181,9,10,1,Nordu2005.graphml,0,0.0,0.0,0.0,0.007492780685424805
182,13,15,2,Nsfnet.graphml,2,2.5,1.0,4.0,0.013089656829833984
183,20,26,1,Oxford.graphml,1,6.0,6.0,6.0,0.010558605194091797
184,18,27,1,Pacificwave.graphml,1,3.0,3.0,3.0,0.010453462600708008
185,21,27,2,Packetexchange.graphml,4,2.25,1.0,5.0,0.019335508346557617
