,Unnamed: 0,NUM NODES,NUM EDGES,PEARL DEPTH,GRAPH NAME,NUM PEARLS,AVG PEARL SIZE,MIN PEARL SIZE,MAX PEARL SIZE,TIME
0,0,19,24,3,Aarnet,3,2.0,2.0,2.0,0.0193848609924316
1,1,11,14,3,Abilene,3,2.0,2.0,2.0,0.0134260654449462
2,2,23,31,2,Abvt,2,5.0,4.0,6.0,0.0213968753814697
3,3,23,31,3,Aconet,3,2.0,2.0,2.0,0.0142862796783447
4,4,25,30,1,Agis,1,6.0,6.0,6.0,0.0266573429107666
5,5,10,9,1,Ai3,0,0.0,0.0,0.0,0.0073549747467041
6,6,16,37,1,Airtel,1,8.0,8.0,8.0,0.0376317501068115
7,7,25,24,1,Amres,0,0.0,0.0,0.0,0.0144529342651367
8,8,18,25,2,Ans,2,5.5,1.0,10.0,0.0228626728057861
9,9,30,29,1,Arn,0,0.0,0.0,0.0,0.0284664630889892
10,10,34,47,2,Arnes,3,4.0,2.0,5.0,0.0287353992462158
11,11,4,4,1,Arpanet196912,0,0.0,0.0,0.0,0.0050597190856933
12,12,9,10,1,Arpanet19706,0,0.0,0.0,0.0,0.0061204433441162
13,13,18,22,3,Arpanet19719,3,2.0,2.0,2.0,0.0446035861968994
14,14,25,28,3,Arpanet19723,3,2.0,2.0,2.0,0.0165972709655761
15,15,29,32,1,Arpanet19728,1,6.0,6.0,6.0,0.0092570781707763
16,16,65,79,1,AsnetAm,3,3.6666666666666665,2.0,7.0,0.1100568771362304
17,17,21,22,2,Atmnet,2,1.5,1.0,2.0,0.0101189613342285
18,18,25,57,1,AttMpls,1,20.0,20.0,20.0,0.0290982723236084
19,19,22,25,1,Azrena,0,0.0,0.0,0.0,0.0146150588989257
20,20,7,6,1,Basnet,0,0.0,0.0,0.0,0.0056850910186767
21,21,27,28,2,Bbnplanet,2,1.5,1.0,2.0,0.042567491531372
22,22,48,65,2,Bellcanada,5,4.2,1.0,13.0,0.0548439025878906
23,23,51,66,2,Bellsouth,2,2.5,1.0,4.0,0.1007230281829834
24,24,23,43,1,Belnet2003,1,5.0,5.0,5.0,0.0126063823699951
25,25,23,43,1,Belnet2004,1,5.0,5.0,5.0,0.0131099224090576
26,26,23,44,1,Belnet2005,1,5.0,5.0,5.0,0.0111467838287353
27,27,23,44,1,Belnet2006,1,5.0,5.0,5.0,0.014397382736206
28,28,21,31,3,Belnet2007,5,2.0,2.0,2.0,0.0225160121917724
29,29,21,31,3,Belnet2008,5,2.0,2.0,2.0,0.0216379165649414
30,30,21,31,3,Belnet2009,5,2.0,2.0,2.0,0.0216205120086669
31,31,22,32,3,Belnet2010,5,2.0,2.0,2.0,0.020491600036621
32,32,53,65,1,BeyondTheNetwork,1,14.0,14.0,14.0,0.1040766239166259
33,33,33,48,2,Bics,2,8.5,2.0,15.0,0.0548532009124755
34,34,29,33,2,Biznet,4,1.75,1.0,2.0,0.0186777114868164
35,35,37,38,1,Bren,0,0.0,0.0,0.0,0.0454800128936767
36,36,18,24,1,BsonetEurope,1,6.0,6.0,6.0,0.0230810642242431
37,37,20,31,1,BtAsiaPac,1,8.0,8.0,8.0,0.0190773010253906
38,38,24,37,1,BtEurope,1,6.0,6.0,6.0,0.016998291015625
39,39,36,76,1,BtNorthAmerica,1,23.0,23.0,23.0,0.0361461639404296
40,40,32,41,2,Canerie,4,2.5,1.0,4.0,0.0342793464660644
41,41,44,43,1,Carnet,0,0.0,0.0,0.0,0.0362942218780517
42,42,41,59,1,Cernet,1,8.0,8.0,8.0,0.0246417522430419
43,43,10,9,1,Cesnet1993,0,0.0,0.0,0.0,0.0100979804992675
44,44,13,12,1,Cesnet1997,0,0.0,0.0,0.0,0.0120160579681396
45,45,13,12,1,Cesnet1999,0,0.0,0.0,0.0,0.009782075881958
46,46,23,23,1,Cesnet2001,0,0.0,0.0,0.0,0.0175228118896484
47,47,29,33,1,Cesnet200304,1,4.0,4.0,4.0,0.0488679409027099
48,48,39,44,2,Cesnet200511,2,2.5,1.0,4.0,0.0646266937255859
49,49,39,44,1,Cesnet200603,1,4.0,4.0,4.0,0.0611681938171386
50,50,44,51,1,Cesnet200706,1,6.0,6.0,6.0,0.1230385303497314
51,51,52,63,1,Cesnet201006,1,12.0,12.0,12.0,0.1697769165039062
52,52,42,66,1,Chinanet,1,9.0,9.0,9.0,0.1007239818572998
53,53,15,18,1,Claranet,1,3.0,3.0,3.0,0.0130002498626708
54,54,197,245,5,Cogentco,7,8.857142857142858,2.0,46.0,1.7210562229156494
55,55,153,191,4,Colt,9,3.333333333333333,1.0,11.0,0.9516773223876952
56,56,70,85,4,Columbus,4,6.25,1.0,15.0,0.1747877597808838
57,57,14,17,1,Compuserve,1,5.0,5.0,5.0,0.0094912052154541
58,58,33,38,3,CrlNetworkServices,3,2.6666666666666665,1.0,5.0,0.0170552730560302
59,59,51,52,2,Cudi,2,1.5,1.0,2.0,0.0655484199523925
60,60,36,41,1,Cwix,1,7.0,7.0,7.0,0.0298085212707519
61,61,30,29,1,Cynet,0,0.0,0.0,0.0,0.028519868850708
62,62,28,31,3,Darkstrand,3,2.0,2.0,2.0,0.0157532691955566
63,63,6,11,1,Dataxchange,1,5.0,5.0,5.0,0.0087640285491943
64,64,113,183,5,Deltacom,5,11.8,1.0,52.0,0.5309023857116699
65,65,58,87,1,Dfn,1,20.0,20.0,20.0,0.0640010833740234
66,66,31,38,4,Digex,4,2.75,2.0,4.0,0.0256712436676025
67,67,19,29,1,Easynet,2,4.0,3.0,5.0,0.0256972312927246
68,68,13,16,1,Eenet,0,0.0,0.0,0.0,0.0110299587249755
69,69,20,30,1,EliBackbone,1,12.0,12.0,12.0,0.013444185256958
70,70,6,7,1,Epoch,0,0.0,0.0,0.0,0.00537109375
71,71,30,32,1,Ernet,1,3.0,3.0,3.0,0.0387465953826904
72,72,68,92,1,Esnet,1,12.0,12.0,12.0,0.2067198753356933
73,73,37,45,2,Evolink,2,4.0,1.0,7.0,0.0463166236877441
74,74,17,21,2,Fatman,2,1.5,1.0,2.0,0.0193758010864257
75,75,23,27,1,Fccn,0,0.0,0.0,0.0,0.0126266479492187
76,76,62,62,1,Forthnet,0,0.0,0.0,0.0,0.0793101787567138
77,77,26,31,2,Funet,2,3.5,2.0,5.0,0.0227658748626709
78,78,28,28,1,Gambia,0,0.0,0.0,0.0,0.0228831768035888
79,79,16,18,1,Garr199901,1,4.0,4.0,4.0,0.0151727199554443
80,80,23,25,1,Garr199904,1,4.0,4.0,4.0,0.0204567909240722
81,81,23,25,1,Garr199905,1,4.0,4.0,4.0,0.0205421447753906
82,82,22,24,1,Garr200109,1,4.0,4.0,4.0,0.0238428115844726
83,83,24,26,1,Garr200112,1,4.0,4.0,4.0,0.0263421535491943
84,84,27,29,1,Garr200212,1,3.0,3.0,3.0,0.0284454822540283
85,85,22,24,1,Garr200404,1,4.0,4.0,4.0,0.0195176601409912
86,86,54,71,1,Garr200902,1,9.0,9.0,9.0,0.2041542530059814
87,87,54,68,1,Garr200908,1,9.0,9.0,9.0,0.1871793270111084
88,88,55,69,1,Garr200909,1,9.0,9.0,9.0,0.1947178840637207
89,89,54,68,2,Garr200912,2,5.0,1.0,9.0,0.1989047527313232
90,90,54,68,2,Garr201001,2,5.0,1.0,9.0,0.2090194225311279
91,91,54,71,1,Garr201003,1,9.0,9.0,9.0,0.2299067974090576
92,92,54,71,2,Garr201004,2,5.0,1.0,9.0,0.2075769901275634
93,93,55,72,1,Garr201005,1,9.0,9.0,9.0,0.2174901962280273
94,94,55,74,1,Garr201007,1,9.0,9.0,9.0,0.1707429885864257
95,95,55,74,1,Garr201008,1,9.0,9.0,9.0,0.1726171970367431
96,96,56,75,1,Garr201010,1,9.0,9.0,9.0,0.1919772624969482
97,97,56,75,1,Garr201012,1,9.0,9.0,9.0,0.1740896701812744
98,98,56,76,1,Garr201101,1,9.0,9.0,9.0,0.1977593898773193
99,99,57,77,1,Garr201102,1,9.0,9.0,9.0,0.1844806671142578
100,100,58,81,1,Garr201103,1,9.0,9.0,9.0,0.2153358459472656
101,101,59,83,2,Garr201104,2,6.0,1.0,11.0,0.2927727699279785
102,102,59,84,2,Garr201105,2,5.0,1.0,9.0,0.2071113586425781
103,103,59,85,2,Garr201107,2,5.0,1.0,9.0,0.2542300224304199
104,104,59,85,1,Garr201108,1,9.0,9.0,9.0,0.2294106483459472
105,105,59,86,1,Garr201109,1,9.0,9.0,9.0,0.1817042827606201
106,106,59,87,2,Garr201110,2,5.5,1.0,10.0,0.2040493488311767
107,107,60,87,1,Garr201111,1,10.0,10.0,10.0,0.1751661300659179
108,108,61,89,2,Garr201112,2,5.5,1.0,10.0,0.1873443126678466
109,109,61,89,2,Garr201201,2,5.5,1.0,10.0,0.2031030654907226
110,110,8,7,1,Gblnet,0,0.0,0.0,0.0,0.0065159797668457
111,111,27,38,2,Geant2001,2,6.0,1.0,11.0,0.0555517673492431
112,112,34,52,1,Geant2009,1,16.0,16.0,16.0,0.040787935256958
113,113,37,58,1,Geant2010,1,16.0,16.0,16.0,0.0528936386108398
114,114,40,61,1,Geant2012,1,17.0,17.0,17.0,0.0839190483093261
115,115,7,8,1,Getnet,1,2.0,2.0,2.0,0.0067446231842041
116,116,9,36,1,Globalcenter,1,9.0,9.0,9.0,0.0170586109161376
117,117,67,113,2,Globenet,2,14.0,2.0,26.0,0.2035427093505859
118,118,17,31,1,Goodnet,1,9.0,9.0,9.0,0.0231020450592041
119,119,16,15,1,Grena,0,0.0,0.0,0.0,0.0102744102478027
120,120,9,20,1,Gridnet,1,9.0,9.0,9.0,0.0120961666107177
121,121,37,47,2,Grnet,2,3.5,2.0,5.0,0.0648283958435058
122,122,149,193,3,GtsCe,4,12.5,2.0,44.0,0.6291079521179199
123,123,32,33,2,GtsCzechRepublic,2,1.5,1.0,2.0,0.0313014984130859
124,124,30,31,1,GtsHungary,0,0.0,0.0,0.0,0.0173952579498291
125,125,33,37,2,GtsPoland,2,3.5,1.0,6.0,0.0242958068847656
126,126,21,24,2,GtsRomania,2,1.5,1.0,2.0,0.0153746604919433
127,127,35,37,2,GtsSlovakia,2,2.0,2.0,2.0,0.0362653732299804
128,128,21,25,1,Harnet,1,4.0,4.0,4.0,0.0348634719848632
129,129,7,13,1,Heanet,1,4.0,4.0,4.0,0.008998155593872
130,130,13,14,2,HiberniaCanada,2,1.5,1.0,2.0,0.0123400688171386
131,131,55,81,3,HiberniaGlobal,7,4.857142857142857,1.0,21.0,0.2141284942626953
132,132,8,8,1,HiberniaIreland,0,0.0,0.0,0.0,0.0056612491607666
133,133,18,22,3,HiberniaNireland,3,2.0,2.0,2.0,0.0139520168304443
134,134,15,15,1,HiberniaUk,0,0.0,0.0,0.0,0.0066020488739013
135,135,22,29,2,HiberniaUs,2,5.5,2.0,9.0,0.0341548919677734
136,136,18,53,1,Highwinds,1,13.0,13.0,13.0,0.0334677696228027
137,137,16,21,2,HostwayInternational,2,3.0,2.0,4.0,0.0183310508728027
138,138,24,37,2,HurricaneElectric,2,5.5,1.0,10.0,0.0523138046264648
139,139,18,24,1,Ibm,1,9.0,9.0,9.0,0.0135359764099121
140,140,37,66,2,Iij,2,6.0,1.0,11.0,0.0879654884338378
141,141,31,35,1,Iinet,1,4.0,4.0,4.0,0.0461518764495849
142,142,14,15,1,Ilan,0,0.0,0.0,0.0,0.0082747936248779
143,143,27,36,2,Integra,2,5.5,2.0,9.0,0.0327639579772949
144,144,73,97,3,Intellifiber,4,6.25,2.0,15.0,0.1172986030578613
145,145,19,45,1,Internetmci,1,17.0,17.0,17.0,0.0333735942840576
146,146,66,78,1,Internode,1,10.0,10.0,10.0,0.3461828231811523
