,Unnamed: 0,NUM NODES,NUM EDGES,PEARL DEPTH,GRAPH NAME,NUM PEARLS,AVG PEARL SIZE,MIN PEARL SIZE,MAX PEARL SIZE
54,54,197,245,5,Cogentco.graphml,7,8.857142857142858,2.0,46.0
64,64,113,183,5,Deltacom.graphml,5,11.8,1.0,52.0
219,219,74,92,4,Switch.graphml,5,4.6,2.0,15.0
147,147,110,158,4,Interoute.graphml,6,8.0,1.0,40.0
55,55,153,191,4,Colt.graphml,9,3.333333333333333,1.0,11.0
149,149,125,150,4,Ion.graphml,5,7.4,2.0,23.0
56,56,70,85,4,Columbus.graphml,4,6.25,1.0,15.0
233,233,158,189,4,UsCarrier.graphml,8,5.0,1.0,22.0
66,66,31,38,4,Digex.graphml,4,2.75,2.0,4.0
28,28,21,31,3,Belnet2007.graphml,5,2.0,2.0,2.0
29,29,21,31,3,Belnet2008.graphml,5,2.0,2.0,2.0
30,30,21,31,3,Belnet2009.graphml,5,2.0,2.0,2.0
31,31,22,32,3,Belnet2010.graphml,5,2.0,2.0,2.0
189,189,36,41,3,PionierL1.graphml,3,3.333333333333333,1.0,7.0
131,131,55,81,3,HiberniaGlobal.graphml,7,4.857142857142857,1.0,21.0
169,169,67,83,3,Missouri.graphml,3,8.0,4.0,14.0
158,158,754,899,3,Kdl.graphml,11,18.63636363636364,1.0,185.0
148,148,39,53,2,Intranetwork.graphml,6,2.6666666666666665,1.0,8.0
222,222,145,194,2,TataNld.graphml,5,11.6,1.0,51.0
22,22,48,65,2,Bellcanada.graphml,5,4.2,1.0,13.0
